21,ปฏิวัติ ฤทธิเดช (Patiwat Littidej),ภูมิสารสนเทศ,ie_gIQ8AAAAJ
22,สาธิต แสงประดิษฐ์ (Satith Sangpradid),สารสนเทศ,bvOQxGgAAAAJ
23,ธีรญา อุทธา (Theeraya Uttha),ภูมิสารสนเทศ,mDMm0dcAAAAJ
24,นุชนาฏ บัวศรี (Nutchanat Buasri),ภูมิสารสนเทศ,QFLk-NwAAAAJ
25,จักรกฤษณ์ แสงแก้ว (Chakkrit Saengkaew),สารสนเทศ,uKHxh6UAAAAJ
26,รัตนโชติ เทียนมงคล (Ratanachote Thienmongkol),สื่อนฤมิต,SEG3kFwAAAAJ
27,ภาธร นิลอาธิ (Patorn Nilati),สารสนเทศ,klTDYIgAAAAJ
28,แกมกาญจน์ สมประเสริฐศรี (Gamgarn Somprasertsri)4,สารสนเทศ,u4f1j_MAAAAJ
29,ศิริพร น้อยอำคา (Siriporn Noiumkar),สื่อนฤมิต,SaTqVvsAAAAJ
30,ฤทัย นิ่มน้อย (Ruethai Nimnoi),สารสนเทศ,znKN8_YAAAAJ
31,พัฒนพงษ์ ชมภูวิเศษ (Phatthanaphong Chompuwiset),วิทยาการคอมฯ,hmfNMJYAAAAJ
32,นภัสกร กรวยสวัสดิ์ (Napassakorn Kruaysawat),สารสนเทศ,Q4eScxIAAAAJ
33,พฤฒ ธนรัช (Preut Thanarat),วิทยาการคอมฯ,l5m1QNYAAAAJ
34,สุวิช ถิระโคตร (Suwich Tirakoat),สื่อนฤมิต,NhpgvYYAAAAJ
35,พงษ์พิพัฒน์ สายทอง (Pongpipat Saitong),สื่อนฤมิต,3fA3kgcAAAAJ
36,ปริวัฒน์ พิสิษฐพงศ์ (Pariwat Phisittaphong),เทคโนโลยีสารสนเทศ,5YXzZkYAAAAJ
37,สุนทรี อมรเพชรสถาพร (Suntharee Amornpetsathaporn),นิเทศฯ,-
38,ภัทรภร เสนไกรกุล (Bhattaraporn Senkraigul),นิเทศฯ,-
39,รพีพร ช่ำชอง (Rapeeporn Chamchong),วิทยาการคอมฯ,HHcUdRwAAAAJ
40,จันทิมา พลพินิจ (Jantima Polpinij),วิทยาการคอมฯ,8WMbN4AAAAAJ
41,พชระ พฤกษะศรี (Potchara Pruksasri),วิทยาการคอมฯ,OUdOJXQAAAAJ
42,สมนึก พ่วงพรพิทักษ์ (Somnuk Puangpronpitag),วิทยาการคอมฯ,ocFIn00AAAAJ
43,นัฐธริยา เหล่าประชา(Natthariya Laopracha),วิทยาการคอมฯ,MBF8_-EAAAAJ
44,พนิดา ทรงรัมย์ (Panida Songram),วิทยาการคอมฯ,E3KrlTcAAAAJ
45,ณภัทร สักทอง (Napat Sukthong),วิทยาการคอมฯ,qOcAky4AAAAJ
46,กชพรรณ ยังมี (Kotchaphan Youngmee),สื่อนฤมิต,aVPp1lsAAAAJ
47,สุรีวัลย์ บุตรชานนท์ (Sureewan Bootchanont),นิเทศฯ,ZfIodAIAAAAJ
48,พิมลรัตน์ อ้วนศรีเมือง (Pimolrat Ounsrimuang),วิทยาการคอมฯ,9m4pBl4AAAAJ
49,อรทัย สุทธิจักษ์ (Orathai Suttijak),สื่อนฤมิต,pWIk7lMAAAAJ
50,อรรถพล สุวรรณษา (Atthapol Suwannasa),วิทยาการคอมฯ,8MLJUE0AAAAJ
51,พรทิวา ปะวะระ (Pornntiwa Pawara),วิทยาการคอมฯ,jXG2MxcAAAAJ
52,ปรีชา สาคร (Preecha Sakorn),นิเทศฯ,ZHpVau0AAAAJ
53,รุ่งทิพย์ เจริญศักดิ์ (Rungtip Charoensak),สารสนเทศ,CeHUS-QAAAAJ
54,มนันยา นิ่มพิศาล (Mananya Nimpisan),สื่อนฤมิต,k8IbK6QAAAAJ
55,สุวิชัย พรรษา (Suwichai Phunsa),สื่อนฤมิต,ZxQnn-EAAAAJ
56,เนติรัฐ วีระนาคินทร์ (Natirath Weeranakin),สื่อนฤมิต,7WWT33cAAAAJ
57,หัฐณัฐ นาคไพจิตร (Hattanut Nakpijit),สื่อนฤมิต,KLuNZYsAAAAJ
58,คชากฤษ เหลี่ยมไธสง (Khachakrit Liamthaisong),สื่อนฤมิต,NwZbyhUAAAAJ
59,ภัทธิรา สุวรรณโค (Phatthira Suwannako),สารสนเทศ,hU0HtJYAAAAJ
60,ศศิธร แก้วมั่น (Sasitorn Kaewman),วิทยาการคอมฯ,kh2U3hAAAAAJ
61,จิณณวัตร ทะลาสี (Jinnawat Talasee),สารสนเทศ,-
62,ธวัชวงศ์ ลาวัลย์ (Thawatwong Lawan),วิทยาการคอมฯ,-
63,วรวิทย์ สังฆทิพย์ (Worawith Sangkatip),สื่อนฤมิต,TdiHQAUAAAAJ
64,พาณิชย์ สุดโคต (Panich Sudkhot),วิทยาการคอมฯ,2XwRI80AAAAJ
